Audio File (Original),split duration,dept
STT_CS-D-2014-M-D-B05-2-R-01c,00:01:26.005,STT_CS
STT_CS-D-2014-M-D-B05-3-R-01,00:07:05.572,STT_CS
STT_CS-D-2014-M-D-B05-3-R-02,00:04:07.033,STT_CS
STT_CS-D-2014-M-D-B05-3-R-03,00:00:48.295,STT_CS
STT_CS-D-2014-M-D-B05-3-R-04,00:02:18.796,STT_CS
STT_CS-D-2014-M-D-B05-3-T-02,00:31:44.079,STT_CS
STT_CS-D-2014-M-D-B05-4-R-01,00:14:54.235,STT_CS
STT_CS-D-2014-M-D-B06-4-R-01,00:14:14.481,STT_CS
STT_CS-D-2014-M-D-B07-4-01,00:06:02.336,STT_CS
STT_CS-D-2014-M-D-G04-1-L-01,00:00:46.019,STT_CS
STT_CS-D-2014-MD-B02-3-R-04,00:08:46.258,STT_CS
STT_CS-D-2014-P-D-B01-0-R-01,00:01:58.701,STT_CS
STT_CS-D-2014-P-D-B01-0-R-03,00:03:02.545,STT_CS
STT_CS-D-2014-P-D-B01-4-R-01,00:13:22.773,STT_CS
STT_CS-D-2014-P-D-B01-4-R-01-a,00:01:33.706,STT_CS
STT_CS-D-2014-P-D-B01-4-R-01-b,00:02:20.113,STT_CS
STT_CS-D-2014-P-D-B01-4-R-01-c,00:02:18.830,STT_CS
STT_CS-D-2014-P-D-B01-4-R-01-d,00:01:37.926,STT_CS
STT_CS-D-2014-P-D-B01-4-R-04,00:13:51.121,STT_CS
STT_CS-D-2014-P-D-B02-0-R-03,00:02:24.710,STT_CS
STT_CS-D-2014-P-D-B02-2-R-01a,00:00:48.769,STT_CS
STT_CS-D-2014-P-D-B02-2-R-01b,00:01:14.623,STT_CS
STT_CS-D-2014-P-D-B02-2-R-02,00:01:36.157,STT_CS
STT_CS-D-2014-P-D-B02-2-R-03,00:04:22.881,STT_CS
STT_CS-D-2014-P-D-B02-2-R-05,00:08:19.010,STT_CS
STT_CS-D-2014-P-D-B02-3-R-01,00:05:01.369,STT_CS
STT_CS-D-2014-P-D-B02-3-R-02,00:08:25.970,STT_CS
STT_CS-D-2014-P-D-B02-4-R-01,00:06:03.286,STT_CS
STT_CS-D-2014-P-D-B02-4-R-02,00:03:48.335,STT_CS
STT_CS-D-2014-P-D-B02-4-R-03,00:07:06.566,STT_CS
STT_CS-D-2014-P-D-B03-2-R-01,00:01:09.171,STT_CS
STT_CS-D-2014-P-D-B03-2-R-02,00:00:16.774,STT_CS
STT_CS-D-2014-P-D-B03-3-R-01,00:11:04.504,STT_CS
STT_CS-D-2014-P-D-B03-4-R-01,00:05:41.532,STT_CS
STT_CS-D-2014-P-D-B03-4-R-02,00:25:35.866,STT_CS
STT_CS-D-2014-P-D-B04-2-R-01,00:11:02.934,STT_CS
STT_CS-D-2014-P-D-B04-3-R-01a,00:11:00.997,STT_CS
